Google,DuckDuckGo,Query,Relevant,MyRanking,Document
8,-1,SW2,TRUE,7,https://github.com/pierre-rouanet/dtw
9,-1,SW2,FALSE,-1,https://www.detroit-airport.com
10,-1,SW2,TRUE,2,https://www.youtube.com/watch?v=_K1OsqCicBY
-1,2,SW2,FALSE,-1,https://www.detroit-metro-airport.com
-1,3,SW2,FALSE,-1,https://www.kayak.com/Detroit-Detroit-Metropolitan-Wayne-County-Airport.DTW.ap.html
-1,5,SW2,FALSE,-1,https://www.yelp.com/biz/detroit-metropolitan-airport-dtw-detroit
-1,6,SW2,FALSE,-1,https://acronyms.thefreedictionary.com/DTW
-1,8,SW2,FALSE,-1,https://www.delta.com/mea/en
-1,9,SW2,FALSE,-1,https://he.flightaware.com/live/airport/KDTW
-1,10,SW2,FALSE,-1,https://www.airnav.com/airport/KDTW
1,-1,SW3,FALSE,-1,https://en.wikipedia.org/wiki/Visualization_(graphics)
2,-1,SW3,FALSE,-1,https://en.wikipedia.org/wiki/Visualization
3,-1,SW3,FALSE,-1,https://www.jackcanfield.com/blog/visualize-and-affirm-your-desired-outcomes-a-step-by-step-guide/
4,-1,SW3,FALSE,-1,https://www.forbes.com/sites/bhaligill/2017/06/22/new-to-visualization-here-are-5-steps-to-get-you-started/?sh=46266edb6e3f
5,6,SW3,FALSE,-1,https://www.psychologytoday.com/us/blog/living-forward/201806/3-effective-visualization-techniques-change-your-life
6,-1,SW3,FALSE,-1,https://hbr.org/2016/06/visualizations-that-really-work
7,-1,SW3,TRUE,1,https://www.tableau.com/learn/articles/data-visualization
8,-1,SW3,FALSE,-1,https://www.mindtools.com/pages/article/newHTE_81.htm
9,-1,SW3,FALSE,-1,https://www.headspace.com/meditation/visualization
10,1,SW3,FALSE,-1,https://www.merriam-webster.com/dictionary/visualization
-1,2,SW3,FALSE,-1,https://www.forbes.com/sites/lidijaglobokar/2020/03/05/the-power-of-visualization-and-how-to-use-it/?sh=648ac30f6497
-1,3,SW3,FALSE,-1,https://www.dictionary.com/browse/visualization
-1,4,SW3,FALSE,-1,https://www.realsimple.com/health/mind-mood/emotional-health/visualization-techniques
-1,5,SW3,FALSE,-1,https://www.wikihow.com/Visualize
-1,7,SW3,FALSE,-1,https://www.success.com/the-power-of-visualization/
-1,8,SW3,FALSE,-1,https://www.learnmindpower.com/using-mind-power/visualizations/
-1,9,SW3,FALSE,-1,https://www.healthline.com/health/visualization-meditation
-1,10,SW3,FALSE,-1,https://www.psychologytoday.com/us/blog/the-psychology-dress/201111/visualize-it
1,2,SW4,TRUE,13,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.KMeans.html
2,1,SW4,TRUE,14,https://en.wikipedia.org/wiki/K-means_clustering
3,-1,SW4,TRUE,16,https://he.wikipedia.org/wiki/אלגוריתם_k-מרכזים
4,3,SW4,TRUE,2,https://towardsdatascience.com/k-means-clustering-algorithm-applications-evaluation-methods-and-drawbacks-aa03e644b48a
5,-1,SW4,TRUE,1,https://stanford.edu/~cpiech/cs221/handouts/kmeans.html
6,-1,SW4,TRUE,3,https://www.mathworks.com/help/stats/kmeans.html
7,-1,SW4,TRUE,9,https://jakevdp.github.io/PythonDataScienceHandbook/05.11-k-means.html
8,-1,SW4,TRUE,10,https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/kmeans
9,6,SW4,TRUE,11,https://realpython.com/k-means-clustering-python/
10,-1,SW4,TRUE,12,https://www.youtube.com/watch?v=4b5d3muPQmA
-1,4,SW4,TRUE,6,https://365datascience.com/k-means-clustering/
-1,5,SW4,TRUE,4,https://www.analyticsvidhya.com/blog/2019/08/comprehensive-guide-k-means-clustering/
-1,7,SW4,TRUE,8,https://www.tutorialspoint.com/machine_learning_with_python/machine_learning_with_python_clustering_algorithms_k_means.htm
-1,8,SW4,TRUE,15,https://en.wikipedia.org/wiki/K-means%2B%2B
-1,9,SW4,TRUE,7,https://www.geeksforgeeks.org/k-means-clustering-in-r-programming/
-1,10,SW4,TRUE,5,https://www.geeksforgeeks.org/k-means-clustering-introduction/
1,10,SW5,TRUE,9,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.TSNE.html
2,1,SW5,TRUE,10,https://en.wikipedia.org/wiki/T-distributed_stochastic_neighbor_embedding
3,-1,SW5,TRUE,11,https://he.wikipedia.org/wiki/T-SNE
4,9,SW5,TRUE,3,https://distill.pub/2016/misread-tsne/
5,8,SW5,TRUE,6,https://lvdmaaten.github.io/tsne/
6,7,SW5,TRUE,5,https://towardsdatascience.com/an-introduction-to-t-sne-with-python-example-5a3a293108d1
7,-1,SW5,TRUE,7,https://towardsdatascience.com/t-sne-clearly-explained-d84c537f53a
8,3,SW5,TRUE,8,https://www.datacamp.com/community/tutorials/introduction-t-sne
9,5,SW5,TRUE,1,https://www.jmlr.org/papers/volume9/vandermaaten08a/vandermaaten08a.pdf
10,6,SW5,TRUE,2,https://www.youtube.com/watch?v=NEaUSP4YerM
-1,2,SW5,FALSE,-1,https://www.tsne.org
-1,4,SW5,TRUE,4,https://towardsdatascience.com/t-distributed-stochastic-neighbor-embedding-t-sne-bb60ff109561
1,-1,MW1,TRUE,14,http://www.rdatamining.com/examples/time-series-clustering-classification
2,1,MW1,TRUE,15,https://towardsdatascience.com/how-to-apply-k-means-clustering-to-time-series-data-28d04a8f7da3
3,2,MW1,TRUE,13,https://www.intechopen.com/online-first/clustering-of-time-series-data
4,-1,MW1,TRUE,2,https://www.sciencedirect.com/science/article/pii/S2666827020300013
5,-1,MW1,TRUE,6,https://www.sciencedirect.com/science/article/abs/pii/S0306437915000733
6,-1,MW1,TRUE,11,https://www.hindawi.com/journals/tswj/2014/562194/
7,-1,MW1,TRUE,10,https://robjhyndman.com/papers/wang.pdf
8,-1,MW1,TRUE,5,http://rstudio-pubs-static.s3.amazonaws.com/398402_abe1a0343a4e4e03977de8f3791e96bb.html
9,-1,MW1,TRUE,1,http://halweb.uc3m.es/esp/Personal/personas/amalonso/esp/ASDM-C02-clustering.pdf
10,-1,MW1,TRUE,9,https://www.cs.ucr.edu/~eamonn/meaningless.pdf
-1,3,MW1,TRUE,4,https://pro.arcgis.com/en/pro-app/tool-reference/space-time-pattern-mining/learnmoretimeseriesclustering.htm
-1,4,MW1,TRUE,7,https://drkeithmcnulty.com/2020/03/02/clustering-time-series-data-in-r/
-1,5,MW1,TRUE,3,https://www.researchgate.net/publication/339233484_Clustering_of_Time-Series_Data
-1,6,MW1,TRUE,12,https://jmlr.org/papers/volume17/khaleghi16a/khaleghi16a.pdf
-1,7,MW1,TRUE,8,https://www.storybench.org/how-to-use-hierarchical-cluster-analysis-on-time-series-data/
-1,8,MW1,TRUE,16,https://towardsdatascience.com/dont-make-this-mistake-when-clustering-time-series-data-d9403f39bbb2
-1,9,MW1,TRUE,17,https://stats.stackexchange.com/questions/66976/how-to-cluster-time-series
-1,10,MW1,TRUE,18,https://stackoverflow.com/questions/3503668/how-can-i-perform-k-means-clustering-on-time-series-data
1,1,MW2,TRUE,1,https://www.sciencedirect.com/science/article/abs/pii/S0167865518308985
2,-1,MW2,TRUE,5,https://link.springer.com/chapter/10.1007/978-3-030-28665-1_31
3,-1,MW2,TRUE,7,https://www.researchgate.net/profile/Stephan_Spiegel/publication/307929796_Time_series_distance_measures/links/59c52cce0f7e9bd2c0054f55/Time-series-distance-measures.pdf
4,-1,MW2,TRUE,10,https://arxiv.org/abs/1703.01923
5,5,MW2,TRUE,9,https://www.cs.ucr.edu/~eamonn/Complexity-Invariant%20Distance%20Measure.pdf
6,2,MW2,TRUE,11,https://journal.r-project.org/archive/2016/RJ-2016-058/RJ-2016-058.pdf
7,-1,MW2,TRUE,8,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi-99yFuPfsAhUcRhUIHXeCClcQFjAHegQIBhAC&url=https%3A%2F%2Fwww.mdpi.com%2F1996-1073%2F6%2F2%2F579%2Fpdf&usg=AOvVaw3Ab8iIpjtHZW0IFaGlp9NC
8,-1,MW2,TRUE,13,http://ceur-ws.org/Vol-2466/paper5.pdf
9,-1,MW2,FALSE,-1,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwi-99yFuPfsAhUcRhUIHXeCClcQFjAJegQIChAC&url=https%3A%2F%2Fdepositonce.tu-berlin.de%2Fbitstream%2F11303%2F4916%2F2%2Fspiegel_stephan.pdf&usg=AOvVaw2-wKdqRnmmfIy5e3JKCzny
10,-1,MW2,TRUE,12,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118445112.stat05542
-1,3,MW2,TRUE,2,https://www.cs.ucr.edu/~eamonn/MPdist_Expanded.pdf
-1,4,MW2,TRUE,14,https://stackoverflow.com/questions/48497756/time-series-distance-metric
-1,6,MW2,TRUE,6,https://dl.acm.org/doi/abs/10.1145/3318464.3389760
-1,7,MW2,TRUE,3,http://www.cs.columbia.edu/~gravano/Papers/2017/tods17.pdf
-1,8,MW2,TRUE,4,https://cs.gmu.edu/~jessica/BookChapterTSMining.pdf
-1,9,MW2,TRUE,15,https://www.researchgate.net/post/How_can_I_perform_time_series_data_similarity_measures_and_get_a_significance_level_p-value
-1,10,MW2,TRUE,16,https://stats.stackexchange.com/questions/24607/how-to-measure-smoothness-of-a-time-series-in-r
1,5,MW3,TRUE,1,https://humansofdata.atlan.com/2016/11/visualizing-time-series-data/
2,-1,MW3,TRUE,2,https://uc-r.github.io/ts_exploration
3,-1,MW3,TRUE,3,https://www.openriskmanagement.com/21_ways_to_visualize_a_timeseries/
4,-1,MW3,TRUE,4,https://clauswilke.com/dataviz/time-series.html
5,-1,MW3,TRUE,14,https://www.influxdata.com/how-to-visualize-time-series-data/
6,9,MW3,TRUE,13,https://www.kdnuggets.com/2017/03/visualizing-time-series-change.html
7,-1,MW3,TRUE,11,https://www.aptech.com/resources/tutorials/tsmt/wpi-visualizing-time-series-data/
8,-1,MW3,TRUE,15,https://flowingdata.com/tag/time-series/
9,-1,MW3,TRUE,9,https://machinelearningmastery.com/time-series-data-visualization-with-python/
10,-1,MW3,TRUE,5,https://kanoki.org/2020/04/27/time-series-analysis-data-visualization/
-1,1,MW3,TRUE,6,https://dataforvisualization.com/visualizing-time-series/
-1,2,MW3,TRUE,12,https://towardsdatascience.com/visualizing-time-series-survival-data-36029652a393
-1,3,MW3,TRUE,8,https://www.r-bloggers.com/2020/06/time-series-in-5-minutes-part-1-visualization-with-the-time-plot/
-1,4,MW3,TRUE,7,https://boostedml.com/2020/05/visualizing-time-series-in-r.html
-1,6,MW3,TRUE,16,https://subscription.packtpub.com/book/data/9781789618518/1/ch01lvl1sec07/visualizing-time-series-data
-1,7,MW3,TRUE,17,http://science-infographics.org/visualizing-time-series-data/
-1,8,MW3,TRUE,10,https://www.datascienceblog.net/post/data-visualization/line-plot/
-1,10,MW3,TRUE,18,https://www.byteacademy.co/blog/time-series-python
1,-1,MW4,TRUE,13,https://en.wikipedia.org/wiki/Dimensionality_reduction
2,4,MW4,TRUE,4,https://machinelearningmastery.com/dimensionality-reduction-for-machine-learning/
3,2,MW4,TRUE,1,https://towardsdatascience.com/dimensionality-reduction-for-machine-learning-80a46c2ebb7e
4,-1,MW4,TRUE,2,https://thenewstack.io/3-new-techniques-for-data-dimensionality-reduction-in-machine-learning/
5,8,MW4,TRUE,3,https://www.analyticsvidhya.com/blog/2018/08/dimensionality-reduction-techniques-python/
6,-1,MW4,TRUE,6,https://www.sciencedirect.com/topics/computer-science/dimensionality-reduction
7,-1,MW4,TRUE,5,https://blog.dataiku.com/dimensionality-reduction-how-it-works-in-plain-english
8,1,MW4,TRUE,8,https://www.geeksforgeeks.org/dimensionality-reduction/
9,-1,MW4,TRUE,9,https://www.kdnuggets.com/2015/05/7-methods-data-dimensionality-reduction.html
10,-1,MW4,TRUE,10,https://www.youtube.com/watch?v=3uxOyk-SczU
-1,3,MW4,TRUE,11,https://www.upgrad.com/blog/top-dimensionality-reduction-techniques-for-machine-learning/
-1,5,MW4,TRUE,12,https://bartwronski.com/2020/05/21/dimensionality-reduction-for-image-and-texture-set-compression/
-1,6,MW4,TRUE,16,https://www.techopedia.com/definition/30392/dimensionality-reduction
-1,7,MW4,TRUE,15,https://tutorials.datasciencedojo.com/dimensionality-reduction/
-1,9,MW4,TRUE,14,http://infolab.stanford.edu/~ullman/mmds/ch11.pdf
-1,10,MW4,TRUE,7,https://towardsdatascience.com/principal-component-analysis-for-dimensionality-reduction-115a3d157bad
1,-1,MW5,TRUE,14,https://towardsdatascience.com/classification-anomaly-detection-and-prediction-68b046d9c436
2,-1,MW5,TRUE,1,https://www.sciencedirect.com/science/article/pii/S1877050916319160
3,-1,MW5,TRUE,11,https://www.dynatrace.com/support/help/how-to-use-dynatrace/problem-detection-and-analysis/problem-detection/prediction-based-anomaly-detection/
4,-1,MW5,TRUE,2,https://arxiv.org/pdf/1908.01146.pdf
5,-1,MW5,TRUE,3,https://ieeexplore.ieee.org/document/6749341
6,-1,MW5,TRUE,4,https://www.hindawi.com/journals/complexity/2018/1048756/
7,-1,MW5,TRUE,6,https://link.springer.com/article/10.1007/s41060-019-00186-0
8,-1,MW5,TRUE,7,https://www.researchgate.net/publication/262176955_Anomaly_Prediction_in_Seismic_Signals_Using_Neural_Networks
9,-1,MW5,TRUE,12,https://medium.com/sciforce/anomaly-detection-another-challenge-for-artificial-intelligence-c69d414b14db
10,-1,MW5,TRUE,8,https://www.progress.com/campaigns/datarpm/infographic-cognitive-anomaly-detection-and-prediction
-1,1,MW5,TRUE,9,https://github.com/G-Morgen/Anomaly_Prediction
-1,2,MW5,TRUE,16,https://help.amplitude.com/hc/en-us/articles/360044072251-Anomaly-and-Forecast
-1,3,MW5,TRUE,17,https://docs.microsoft.com/en-us/dotnet/machine-learning/tutorials/sales-anomaly-detection
-1,4,MW5,TRUE,18,https://medium.com/sciforce/anomaly-detection-another-challenge-for-artificial-intelligence-c69d414b14db
-1,5,MW5,TRUE,10,https://github.com/feiyuhuahuo/Anomaly_Prediction
-1,6,MW5,TRUE,14,https://www.darkreading.com/threat-intelligence/iot-anomaly-detection-101-data-science-to-predict-the-unexpected-/a/d-id/1334090
-1,7,MW5,TRUE,5,https://towardsdatascience.com/anomaly-detection-with-time-series-forecasting-c34c6d04b24a
-1,8,MW5,TRUE,19,https://docs.microsoft.com/en-us/azure/data-explorer/anomaly-detection
-1,9,MW5,TRUE,15,https://www.darkreading.com/threat-intelligence/anomaly-detection-techniques-defining-normal-/a/d-id/1334116
-1,10,MW5,TRUE,20,https://psl.noaa.gov/map/clim/sst.shtml
1,-1,MWO1,TRUE,13,https://en.wikipedia.org/wiki/Principal_component_analysis
2,9,MWO1,TRUE,1,https://towardsdatascience.com/visualising-high-dimensional-datasets-using-pca-and-t-sne-in-python-8ef87e7915b
3,-1,MWO1,TRUE,5,https://scikit-learn.org/stable/modules/generated/sklearn.manifold.TSNE.html
4,-1,MWO1,TRUE,6,https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.PCA.html
5,1,MWO1,TRUE,7,https://www.geeksforgeeks.org/difference-between-pca-vs-t-sne/
6,5,MWO1,TRUE,2,https://medium.com/analytics-vidhya/pca-vs-t-sne-17bcd882bf3d
7,-1,MWO1,TRUE,4,https://distill.pub/2016/misread-tsne/
8,-1,MWO1,TRUE,9,https://lvdmaaten.github.io/tsne/
9,-1,MWO1,TRUE,10,https://setosa.io/ev/principal-component-analysis/
10,10,MWO1,TRUE,14,https://stats.stackexchange.com/questions/238538/are-there-cases-where-pca-is-more-suitable-than-t-sne
-1,2,MWO1,TRUE,8,https://www.thekerneltrip.com/statistics/tsne-vs-pca/
-1,3,MWO1,TRUE,3,https://medium.com/analytics-vidhya/pca-vs-lda-vs-t-sne-lets-understand-the-difference-between-them-22fa6b9be9d0
-1,4,MWO1,TRUE,11,https://towardsdatascience.com/pca-vs-tsne-el-clásico-9948181a5f87
-1,6,MWO1,TRUE,12,https://towardsdatascience.com/tsne-degrades-to-pca-d4abf9ef51d3
-1,7,MWO1,TRUE,15,https://www.quora.com/What-is-the-difference-between-PCA-and-T-SNE?share=1
-1,8,MWO1,TRUE,16,https://www.biostars.org/p/295174/
1,2,MWO2,FALSE,-1,https://www2.deloitte.com/us/en/insights/topics/digital-transformation/smart-factory-2-0-technology-initiatives.html
2,9,MWO2,TRUE,2,https://www2.deloitte.com/us/en/insights/focus/industry-4-0/smart-factory-connected-manufacturing.html
3,-1,MWO2,TRUE,3,https://tulip.co/blog/digital-transformation/what-is-a-smart-factory-and-what-it-means-for-you/
4,-1,MWO2,FALSE,-1,https://ottomotors.com/blog/what-is-the-smart-factory-manufacturing
5,-1,MWO2,TRUE,1,https://www.avsystem.com/blog/smart-factory/
7,-1,MWO2,FALSE,-1,https://www.industryweek.com/technology-and-iiot/article/21959512/the-dawn-of-the-smart-factory
6,-1,MWO2,FALSE,-1,https://aggity.com/en/solutions/smart-factory/
8,-1,MWO2,FALSE,-1,https://www.harting.com/UK/en-gb/topics/what-smart-factory
9,-1,MWO2,FALSE,-1,https://en.wikipedia.org/wiki/Smart_manufacturing
10,-1,MWO2,FALSE,-1,https://www.globenewswire.com/news-release/2020/07/14/2062169/0/en/Global-Smart-Factory-Industry.html
-1,1,MWO2,FALSE,-1,https://factorywiz.com/monitoring/machine-monitoring-overview/?www.factorywiz.com&msclkid=d06fcdee4cd21d2075149245bfbe2932
-1,3,MWO2,FALSE,-1,https://www2.deloitte.com/za/en/insights/topics/digital-transformation/smart-factory-2-0-technology-initiatives0.html
-1,4,MWO2,FALSE,-1,https://www2.deloitte.com/global/en/blog/energy-resources-industrials/2020/implementing-the-smart-factory.html
-1,5,MWO2,FALSE,-1,https://www2.deloitte.com/ca/en/pages/energy-and-resources/articles/implementing-the-smart-factory.html
-1,6,MWO2,FALSE,-1,https://partners.wsj.com/huawei/news/huawei-joins-hands-pcitc-embrace-smart-factory-2-0/
-1,7,MWO2,FALSE,-1,https://www.arabnewsexpress.ae/huawei-joins-hands-with-pcitc-to-embrace-smart-factory-2-0/
-1,8,MWO2,FALSE,-1,https://www.trumpf.com/en_US/solutions/smartfactory/
-1,10,MWO2,FALSE,-1,https://www.youtube.com/watch?v=bgg9Tr-3Kb8
1,-1,MWO3,FALSE,-1,https://www.calculatorsoup.com/calculators/math/speed-distance-time-calculator.php
2,-1,MWO3,FALSE,-1,https://en.wikipedia.org/wiki/Time–distance_diagram
3,-1,MWO3,FALSE,-1,https://en.wikipedia.org/wiki/Date_and_time_representation_by_country
4,-1,MWO3,FALSE,-1,https://spark.iop.org/collections/time-distance-and-speed#gref
6,-1,MWO3,FALSE,-1,https://books.google.co.il/books?id=Dz9XAWuFf2kC&pg=PP1&lpg=PP1&dq=%22time+distance%22+OR+%22time+representation%22&source=bl&ots=iKgBmyQt7w&sig=ACfU3U1PGGkH9WPfFLrbL3FRMPYbfSau6A&hl=en&sa=X&ved=2ahUKEwiN4qDRovrsAhUGURUIHbilBz4Q6AEwDHoECA0QAg#v=onepage&q=%22time%20distance%22%20OR%20%22time%20representation%22&f=false
5,-1,MWO3,FALSE,-1,http://www.machinehead-software.co.uk/bike/speed_distance_time_calc.html
7,-1,MWO3,FALSE,-1,https://www.encyclopedia.com/science/dictionaries-thesauruses-pictures-and-press-releases/time-distance-curve
8,-1,MWO3,FALSE,-1,https://arxiv.org/abs/1907.03244
10,-1,MWO3,FALSE,-1,https://sites.google.com/site/harlandclub/Home/math/algebra/word1var/wordprob1varlinear/rtd
9,-1,MWO3,FALSE,-1,https://www.oxfordreference.com/view/10.1093/oi/authority.20110803104648787
-1,1,MWO3,FALSE,-1,https://en.wikipedia.org/wiki/Time_derivative
-1,2,MWO3,TRUE,1,https://www.sciencedirect.com/science/article/pii/S0031320318301286
-1,3,MWO3,FALSE,-1,https://www.pnas.org/content/116/15/7477
-1,4,MWO3,FALSE,-1,https://en.wikibooks.org/wiki/Clock_and_Data_Recovery/Structures_and_types_of_CDRs/The_CDR_based_on_a_first_order_PLL
-1,5,MWO3,FALSE,-1,https://www.pnas.org/content/pnas/116/15/7477.full.pdf
-1,6,MWO3,FALSE,-1,http://www.commsp.ee.ic.ac.uk/~tania/teaching/dsp/Lectures%201-2%20Time-Domain%20Characterization%20of%20LTI%20Discrete-Time%20Systems.pdf
-1,7,MWO3,FALSE,-1,https://y6.creditplus-kabinet.ru/535?utm_source=
-1,8,MWO3,FALSE,-1,https://en.wikipedia.org/wiki/Spacetime
-1,9,MWO3,FALSE,-1,https://www.sciencedirect.com/science/article/abs/pii/S0305054817300588
-1,10,MWO3,FALSE,-1,https://stackoverflow.com/questions/16912568/working-with-time-duration-not-time-of-day
1,-1,MWO4,TRUE,13,https://en.wikipedia.org/wiki/Cluster_analysis
2,3,MWO4,FALSE,-1,https://en.wikipedia.org/wiki/Pattern_recognition
3,-1,MWO4,TRUE,3,https://www.researchgate.net/publication/221025575_Local_Pattern_Detection_and_Clustering
4,-1,MWO4,TRUE,7,https://dl.acm.org/doi/10.1145/331499.331504
9,-1,MWO4,TRUE,10,https://link.springer.com/chapter/10.1007/978-3-319-09156-3_49
7,-1,MWO4,TRUE,12,https://sites.google.com/site/dataclusteringalgorithms/home
6,-1,MWO4,TRUE,2,https://www.sciencedirect.com/science/article/pii/S1877050917328673
5,-1,MWO4,TRUE,5,https://www.sciencedirect.com/topics/computer-science/pattern-detection
8,-1,MWO4,TRUE,1,https://ieeexplore.ieee.org/abstract/document/8853526
10,-1,MWO4,FALSE,-1,https://www.mathworks.com/help/fuzzy/data-clustering-using-the-clustering-tool.html
-1,1,MWO4,TRUE,11,http://www.idc-online.com/technical_references/pdfs/information_technology/Pattern%20Recognition.pdf
-1,2,MWO4,FALSE,-1,https://www.researchgate.net/publication/6200837_Cluster_Pattern_Detection_in_Spatial_Data_Based_on_Monte_Carlo_Inference
-1,4,MWO4,TRUE,9,http://downloads.hindawi.com/journals/bmri/2015/918954.pdf
-1,5,MWO4,TRUE,6,https://www.researchgate.net/publication/281512958_K-Profiles_A_Nonlinear_Clustering_Method_for_Pattern_Detection_in_High_Dimensional_Data
-1,6,MWO4,FALSE,-1,https://www.sciencedirect.com/science/article/abs/pii/S0019057816300271
-1,7,MWO4,TRUE,8,https://www.sciencedirect.com/science/article/abs/pii/S1359431120332920
-1,8,MWO4,FALSE,-1,https://www.scribd.com/presentation/345180581/Group3-DataClustering-CaseStudy
-1,9,MWO4,FALSE,-1,https://dzone.com/articles/machine-learning-and-pattern-recognition
-1,10,MWO4,FALSE,-1,https://github.com/topics/pattern-classification
1,-1,MWO5,FALSE,-1,https://en.wikipedia.org/wiki/Anomaly_detection
2,-1,MWO5,TRUE,6,https://towardsdatascience.com/anomaly-detection-for-dummies-15f148e559c1
3,-1,MWO5,TRUE,13,https://towardsdatascience.com/how-to-use-machine-learning-for-anomaly-detection-and-condition-monitoring-6742f82900d7
4,-1,MWO5,TRUE,2,https://www.anodot.com/blog/what-is-anomaly-detection/
5,-1,MWO5,TRUE,1,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-020-00320-x
6,-1,MWO5,TRUE,7,https://www.bmc.com/blogs/machine-learning-anomaly-detection/
7,-1,MWO5,TRUE,12,https://www.kdnuggets.com/2019/10/anomaly-detection-explained.html
8,-1,MWO5,TRUE,8,https://www.sciencedirect.com/topics/computer-science/anomaly-detection
9,-1,MWO5,TRUE,11,https://turi.com/learn/userguide/anomaly_detection/intro.html
10,-1,MWO5,TRUE,9,http://cucis.ece.northwestern.edu/projects/DMS/publications/AnomalyDetection.pdf
-1,1,MWO5,TRUE,14,https://www.tandfonline.com/doi/pdf/10.1080/24751839.2019.1565653?needAccess=true
-1,2,MWO5,TRUE,4,https://www.ias.uni-stuttgart.de/dokumente/publikationen/2018_Anomaly_Detection_in_Discrete_Manufacturing_Using_Self-Learning_Approaches.pdf
-1,3,MWO5,TRUE,5,https://www.sciencedirect.com/science/article/pii/S0167865519303447
-1,4,MWO5,FALSE,-1,https://www.researchgate.net/publication/330843078_Machine_learning_approaches_for_anomaly_detection_of_water_quality_on_a_real-world_data_set
-1,5,MWO5,FALSE,-1,http://utw10945.utweb.utexas.edu/sites/default/files/2019/016%20In-Situ%20Layer-Wise%20Quality%20Monitoring%20for%20Laser-Ba.pdf
-1,6,MWO5,FALSE,-1,http://koreascience.or.kr/article/JAKO201424750260333.page
-1,7,MWO5,FALSE,-1,https://arxiv.org/abs/1510.03336
-1,8,MWO5,TRUE,3,https://www.intel.com/content/dam/www/public/us/en/documents/white-papers/increase-product-yield-and-quality-with-machine-learning-paper.pdf
-1,9,MWO5,FALSE,-1,http://koreascience.or.kr/article/JAKO201424750260333.page
-1,10,MWO5,TRUE,10,https://arxiv.org/abs/1510.03336
1,4,MWN1,TRUE,14,https://paperswithcode.com/task/time-series-clustering
2,1,MWN1,TRUE,15,https://towardsdatascience.com/dont-make-this-mistake-when-clustering-time-series-data-d9403f39bbb2
3,-1,MWN1,TRUE,3,http://rstudio-pubs-static.s3.amazonaws.com/398402_abe1a0343a4e4e03977de8f3791e96bb.html
4,6,MWN1,TRUE,5,https://www.storybench.org/how-to-use-hierarchical-cluster-analysis-on-time-series-data/
5,-1,MWN1,TRUE,7,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-3324-1
6,-1,MWN1,TRUE,8,https://datawookie.netlify.app/blog/2017/04/clustering-time-series-data/
7,-1,MWN1,TRUE,13,https://pro.arcgis.com/en/pro-app/tool-reference/space-time-pattern-mining/time-series-clustering.htm
8,-1,MWN1,TRUE,12,https://www.intechopen.com/books/recent-trends-in-artificial-neural-networks-from-training-to-prediction/time-series-from-clustering-an-approach-to-forecast-crime-patterns
9,-1,MWN1,TRUE,11,https://arxiv.org/abs/2002.01890
